MANAGECOM,GRPCONTNO,APPNTNAME,PLAN,SUBSECTION,RISKCODE,SALECHNEL,AGENTCODE,NUMBER,GEBCLIENT,COMMRATE,TOTPR1,FREQ,EARNED1,CCDATE,DAYS,CLAIM1,NEWIBNR,OLDIBNR,BRANCH
86010101,830000040,中国石油集团工程设计,AMR,c,MIK01,关联业务,90300090,9,2,0,0.0,0,0.00,20060405,-1002,0.00,0.00,0.00,8601
86010101,830000040,中国石油集团工程设计,ADD,c,NMK01,关联业务,90300090,1,2,0,0.0,0,0.00,20060405,-1002,0.00,0.00,0.00,8601
86010101,830000040,中国石油集团工程设计,PCA,c,NMK02,关联业务,90300090,6,2,0,0.0,0,0.00,20060405,-1002,0.00,0.00,0.00,8601
86010101,830000141,北京奔驰－戴姆勒－克,CMM,g,NIK01,直销,90300102,10,1,2,0.0,2,0.00,20070101,-731,177.39,0.00,177.39,8601
86010101,830000141,北京奔驰－戴姆勒－克,SMM,g,NIK12,直销,90300102,13,1,2,0.0,0,0.00,20070101,-852,0.00,0.00,0.00,8601
86010101,830000141,北京奔驰－戴姆勒－克,ADD,g,NMK01,直销,90300102,1,1,2,0.0,0,0.00,20070101,-731,0.00,0.00,0.00,8601
86010101,830000142,北京奔驰-戴姆勒.克莱,CMM,g,NIK01,直销,90300102,10,1,5,0.0,0,0.00,20080101,-365,0.00,0.00,0.00,8601
86010101,830000142,北京奔驰-戴姆勒.克莱,SMM,g,NIK12,直销,90300102,13,1,5,0.0,0,0.00,20080101,-365,0.00,0.00,0.00,8601
86010101,830000142,北京奔驰-戴姆勒.克莱,ADD,g,NMK01,直销,90300102,1,1,15,0.0,0,0.00,20080101,-365,0.00,0.00,0.00,8601
86010101,830000143,北京奔驰-戴姆勒.克莱,CMM,g,NIK01,直销,90300102,10,1,2,0.0,7,0.00,20080101,-365,1134.31,0.00,1134.31,8601
86010101,830000143,北京奔驰-戴姆勒.克莱,SMM,g,NIK12,直销,90300102,13,1,2,0.0,11,0.00,20080101,-365,2078.02,0.00,2078.02,8601
86010101,830000143,北京奔驰-戴姆勒.克莱,ADD,g,NMK01,直销,90300102,1,1,15,0.0,0,0.00,20080101,-365,0.00,0.00,0.00,8601
86010101,830000144,北京奔驰-戴姆勒.克莱,CMM,g,NIK01,直销,90300102,10,1,2,493130.5,429,0.00,20090101,0,187174.58,684.26,187174.58,8601
86010101,830000144,北京奔驰-戴姆勒.克莱,SMM,g,NIK12,直销,90300102,13,1,2,3044480.0,3537,0.00,20090101,0,1349431.17,0.00,1349431.17,8601
86010101,830000144,北京奔驰-戴姆勒.克莱,ADD,g,NMK01,直销,90300102,1,1,15,10063.8,0,0.00,20090101,0,0.00,0.00,0.00,8601
86010101,830000250,中国石油天然气股份有,AMR,c,MIK01,关联业务,90300090,9,2,15,0.0,0,0.00,20060427,-980,0.00,0.00,0.00,8601
86010101,830000250,中国石油天然气股份有,ADD,c,NMK01,关联业务,90300090,1,2,15,0.0,0,0.00,20060427,-980,0.00,0.00,0.00,8601
86010101,830000250,中国石油天然气股份有,PCA,c,NMK02,关联业务,90300090,6,2,15,0.0,0,0.00,20060427,-980,0.00,0.00,0.00,8601
86010101,830000251,中国石油天然气股份有,AMR,c,MIK01,关联业务,90300090,9,2,15,0.0,0,0.00,20070427,-614,0.00,0.00,0.00,8601
86010101,830000251,中国石油天然气股份有,ADD,c,NMK01,关联业务,90300090,1,2,15,0.0,0,0.00,20070427,-614,0.00,0.00,0.00,8601
86010101,830000251,中国石油天然气股份有,PCA,c,NMK02,关联业务,90300090,6,2,15,0.0,0,0.00,20070427,-614,0.00,0.00,0.00,8601
